"",""
"[GLOBAL]","[سراسری]"
"[STORE VIEW]","[نمای فروشگاه]"
"A number based on 'px' (default: 14).","عددی بر مبنای 'px' (پیش فرض: 14)."
"Applies for all thumbnails.","برای همه‌ی تصاویر کوچک اعمال می‌شود."
"Both Columns","هر دو ستون"
"Catalog","کاتالوگ"
"Categories","رده‌ها"
"Category Level %d","رده‌ی سطح %d"
"Children of Current Category","فرزندان رده‌ی جاری"
"Collapsible","تاشو"
"Current Category and Children","رده‌ی جاری و فرزندان"
"Custom","سفارشی"
"Default","پیش فرض"
"Enabled","ممکن‌شده"
"Height","بلندی"
"Left Column","ستون چپ"
"Maximal Depth","عمق نهایی"
"No","خیر"
"Parent Category","رده‌ی منشا"
"Remove Layered Navigation Category","برداشتن رده‌ی ناوبری لایه‌ای"
"Remove Top Navigation Menu","برداشتن منوی ناوبری بالایی"
"Remove Zero Product Count","برداشتن تعداد محصول صفر"
"Removes browse by category from layered navigation.","جستجو توسط رده را از ناوبری لایه‌ای برمی دارد."
"Removes product count for categories with zero product number.","تعداد محصول را برای رده‌هایی با شماره‌ی محصول صفر برمی دارد."
"Right Column","ستون راست"
"Set to 0 or leave empty for unlimit depth.","برای عمق نهایی نا محدود 0(صفر) وارد کنید یا خالی بگذارید."
"Shows thumbnail of menus.","تصویر کوچک منوها را نمایش می‌دهد."
"Show In","نمایش در"
"Show Product Count","نمایش تعداد محصول"
"Sidebar Navigation Menu Professional","منوی ناوبری نوارکناری حرفه‌ای"
"Store Base","مبنای فروشگاه"
"There are no categories in store.","هیچ رده‌ای در فرورشگاه وجود ندارد."
"Thumbnail Enabled","تصویر کوچک ممکن‌شده"
"Thumbnail Size","اندازه‌ی تصویر کوچک"
"Title","عنوان"
"Use Default","استفاده از پیش فرض"
"Use Website","استفاده از وب‌سایت"
"Width","پهنا"
"Yes","بلی"
"You must refresh ""Blocks HTML output"" cache if it's enabled.","اگر کش ""خروجی HTML بلاک‌ها"" ممکن شده است شما باید آن را رفرش کنید."
